sector_id,patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids,assignee_id,assignee_type,assignee_organization,canonical_company_id,display_name,cpc_group_ids
biotech,10905061,2021-02-02,MADS-box domain alleles for controlling SHELL phenotype in palm,1,A01H|C07K|C12N|C12Q|Y02A,8bf0762b-5a7e-42ac-960a-df45a8158db6,3,Malaysian Palm Oil Board,8bf0762b-5a7e-42ac-960a-df45a8158db6,Malaysian Palm Oil Board,
biotech,10905076,2021-02-02,Soybean cultivar 87463802,1,A01H|C12N,619cbdd6-d295-4b83-b57a-1e6284744fbb,2,"M.S. Technologies, L.L.C.",619cbdd6-d295-4b83-b57a-1e6284744fbb,"M.S. Technologies, L.L.C.",
biotech,10905077,2021-02-02,Soybean cultivar 80560821,0,A01H|C12N,619cbdd6-d295-4b83-b57a-1e6284744fbb,2,"M.S. Technologies, L.L.C.",619cbdd6-d295-4b83-b57a-1e6284744fbb,"M.S. Technologies, L.L.C.",
biotech,10905078,2021-02-02,Soybean cultivar 85161246,2,A01H|C12N,619cbdd6-d295-4b83-b57a-1e6284744fbb,2,"M.S. Technologies, L.L.C.",619cbdd6-d295-4b83-b57a-1e6284744fbb,"M.S. Technologies, L.L.C.",
biotech,10905100,2021-02-02,"Method and apparatus for monitoring nutrition, especially fermentation in a rumen of a ruminant",0,A01K|A61B|G01N|H04B,7cdc728a-2e65-4c70-8af7-6a4f009172ce,3,GEA Farm Technologies GmbH,7cdc728a-2e65-4c70-8af7-6a4f009172ce,GEA Farm Technologies GmbH,
biotech,10905107,2021-02-02,"Transgenic mouse capable of spatial and temporal control of expression and site-specific modification of target protein, production method and uses thereof",0,A01K|C12N|C12Y,d4733f97-7b44-444e-83ea-0a2f6002ca24,3,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,d4733f97-7b44-444e-83ea-0a2f6002ca24,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,
biotech,10905108,2021-02-02,ADAM6 mice,3,A01K|B60H|C07K|C12N,091f9b94-4c2c-49b7-a58f-4f6baa0d4df2,2,"REGENERON PHARMACEUTICALS, INC.",091f9b94-4c2c-49b7-a58f-4f6baa0d4df2,"REGENERON PHARMACEUTICALS, INC.",
biotech,10905109,2021-02-02,ADAM6 mice,5,A01K|B60H|C07K|C12N,091f9b94-4c2c-49b7-a58f-4f6baa0d4df2,2,"REGENERON PHARMACEUTICALS, INC.",091f9b94-4c2c-49b7-a58f-4f6baa0d4df2,"REGENERON PHARMACEUTICALS, INC.",
biotech,10905117,2021-02-02,Antimicrobial agent containing polyalkyleneimine derivative,0,A01N|A01P|A61K|A61Q|C08G|C11D,b05c2baf-161a-4693-9b50-f73308e38610,3,"Nippon Shokubai Co., Ltd.",b05c2baf-161a-4693-9b50-f73308e38610,"Nippon Shokubai Co., Ltd.",
biotech,10905118,2021-02-02,"Triscationic amphiphile compounds, compositions, and methods for making same",0,A01N|A61K|C09D,a066a32e-b0ef-4973-990d-81dd5725a94c,2,"James Madison Innovations, Inc.",a066a32e-b0ef-4973-990d-81dd5725a94c,"James Madison Innovations, Inc.",
biotech,10905124,2021-02-02,Antimicrobial solution and methods of making and using the same,0,A01N|A61K|A61P|A61Q,b74fbdb8-09b3-4103-80ca-6951918b328e,2,"Ag21 Health Sciences, LLC",b74fbdb8-09b3-4103-80ca-6951918b328e,"Ag21 Health Sciences, LLC",
biotech,10905128,2021-02-02,Trichoderma compositions and methods of using the same,0,A01N|C12N|C12R,06216707-ad67-4041-a6ec-6c05b7ad7a41,2,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,06216707-ad67-4041-a6ec-6c05b7ad7a41,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,
